artist,song,mbid,timbre,timbreprobability,ismir04_rhythm,ismir04_rhythmprobability,voice_instrumental,voice_instrumentalprobability,gender,genderprobability,genre_rosamerica,genre_rosamericaprobability,mood_electronic,mood_electronicprobability,genre_electronic,genre_electronicprobability,mood_sad,mood_sadprobability,tonal_atonal,tonal_atonalprobability,mood_party,mood_partyprobability,moods_mirex,moods_mirexprobability,danceability,danceabilityprobability,genre_dortmund,genre_dortmundprobability,mood_acoustic,mood_acousticprobability,mood_happy,mood_happyprobability,mood_aggressive,mood_aggressiveprobability,genre_tzanetakis,genre_tzanetakisprobability,mood_relaxed,mood_relaxedprobability,uid
Del Amitri,Nothing Ever Happens,94793237-e1c9-4d1b-a370-154bf6e85a96,dark,0.993433,Rumba-American,0.246468,instrumental,0.999999,female,0.622127,hip,0.534124,electronic,0.979392,ambient,0.340431,not_sad,0.643589,atonal,1,not_party,0.999984,Cluster5,0.6196,not_danceable,1,electronic,0.993592,not_acoustic,0.90441,not_happy,0.77776,not_aggressive,1,jaz,0.309046,relaxed,0.808817,Nothing Ever Happens:Del Amitri
Throwing Muses,Devilâ€™s Roof,216949e3-a6c6-438b-8cec-f8ba56530740,bright,0.993684,ChaChaCha,0.888047,instrumental,0.798536,female,0.932097,pop,0.527683,not_electronic,0.528391,ambient,0.576561,not_sad,0.585702,tonal,0.844923,not_party,0.65467,Cluster2,0.428713,danceable,0.934899,electronic,0.733338,not_acoustic,0.690752,not_happy,0.781882,not_aggressive,0.802634,jaz,0.313975,not_relaxed,0.577299,Devilâ€™s Roof:Throwing Muses
Throwing Muses,Iâ€™m Alive,ebf0cecf-1d98-41f7-b617-17c3774bbc0c,bright,0.915986,ChaChaCha,0.506932,instrumental,0.650592,male,0.568313,roc,0.602815,not_electronic,0.592627,trance,0.398824,not_sad,0.906036,tonal,0.990519,not_party,0.733394,Cluster4,0.308631,danceable,0.929809,electronic,0.528696,not_acoustic,0.959294,happy,0.728649,not_aggressive,0.996997,jaz,0.313975,not_relaxed,0.66082,Iâ€™m Alive:Throwing Muses
Throwing Muses,Angel,3eaa5d24-720c-456d-a8fb-165e8c1ab94f,bright,0.994936,ChaChaCha,0.470913,instrumental,0.761915,female,0.703911,roc,0.545629,not_electronic,0.727002,ambient,0.494351,not_sad,0.822672,tonal,0.932682,not_party,0.579527,Cluster2,0.387979,danceable,0.832354,electronic,0.646276,not_acoustic,0.953241,happy,0.758181,aggressive,0.585831,jaz,0.313975,not_relaxed,0.91132,Angel:Throwing Muses
Throwing Muses,No Parachutes,1d83f2e4-b934-4baa-ad5d-dd1205ac5998,bright,0.579112,VienneseWaltz,0.270869,voice,0.898521,female,0.867442,roc,0.707538,not_electronic,0.733102,ambient,0.505041,not_sad,0.789568,tonal,0.921428,party,0.720792,Cluster5,0.394774,not_danceable,0.675675,electronic,0.968241,not_acoustic,0.991927,not_happy,0.599481,aggressive,0.837942,jaz,0.313975,not_relaxed,0.972418,No Parachutes:Throwing Muses
Throwing Muses,Santa Claus,b3355e2e-86ea-45a7-ac82-f2a03e07f452,bright,0.895782,ChaChaCha,0.333871,voice,0.995636,male,0.661695,roc,0.52227,not_electronic,0.535245,ambient,0.507748,not_sad,0.859703,tonal,0.696342,not_party,0.998817,Cluster2,0.256935,not_danceable,0.751938,electronic,0.599584,not_acoustic,0.95035,not_happy,0.601863,not_aggressive,1,jaz,0.310667,relaxed,0.808654,Santa Claus:Throwing Muses
Throwing Muses,Fall Down,12c2ff32-a440-4141-b12f-322afaf0db32,bright,0.599653,Tango,0.67883,instrumental,0.906941,female,0.794481,pop,0.568222,not_electronic,0.659716,ambient,0.606314,not_sad,0.835076,tonal,0.705451,not_party,0.743289,Cluster2,0.290642,danceable,0.734707,electronic,0.708583,not_acoustic,0.940882,not_happy,0.716562,not_aggressive,0.511166,jaz,0.313975,not_relaxed,0.732165,Fall Down:Throwing Muses
Throwing Muses,Take,5949a9c6-2d3b-407c-a631-d16e293f8c18,bright,0.913871,ChaChaCha,0.515349,instrumental,0.688026,female,0.893296,roc,0.757087,not_electronic,0.750507,ambient,0.579486,not_sad,0.744375,tonal,0.95614,not_party,0.528782,Cluster5,0.404027,not_danceable,0.789877,electronic,0.817171,not_acoustic,0.9145,happy,0.585171,not_aggressive,0.6533,jaz,0.313975,not_relaxed,0.997905,Take:Throwing Muses
Throwing Muses,Bea,ddd17991-ff59-4b96-9627-7a6791abc2a1,dark,0.68705,VienneseWaltz,0.346189,instrumental,0.92842,female,0.974133,roc,0.930078,electronic,0.5,trance,0.536118,not_sad,0.775591,tonal,0.994946,party,0.52715,Cluster5,0.689986,danceable,0.903777,electronic,0.991198,not_acoustic,0.987303,not_happy,0.570598,not_aggressive,0.785642,jaz,0.313975,not_relaxed,0.765401,Bea:Throwing Muses
Throwing Muses,Dragonhead,68dfc703-c9a8-4382-a125-28d1b0135d65,bright,0.999997,Tango,0.856394,instrumental,0.878599,male,0.929882,roc,0.447238,not_electronic,0.872529,ambient,0.78213,not_sad,0.5,tonal,0.963391,not_party,0.850571,Cluster3,0.29057,not_danceable,0.605735,electronic,0.857036,not_acoustic,0.790196,happy,0.724053,not_aggressive,0.990891,jaz,0.310667,not_relaxed,0.612799,Dragonhead:Throwing Muses
