artist,song,mbid,timbre,timbreprobability,ismir04_rhythm,ismir04_rhythmprobability,voice_instrumental,voice_instrumentalprobability,gender,genderprobability,genre_rosamerica,genre_rosamericaprobability,mood_electronic,mood_electronicprobability,genre_electronic,genre_electronicprobability,mood_sad,mood_sadprobability,tonal_atonal,tonal_atonalprobability,mood_party,mood_partyprobability,moods_mirex,moods_mirexprobability,danceability,danceabilityprobability,genre_dortmund,genre_dortmundprobability,mood_acoustic,mood_acousticprobability,mood_happy,mood_happyprobability,mood_aggressive,mood_aggressiveprobability,genre_tzanetakis,genre_tzanetakisprobability,mood_relaxed,mood_relaxedprobability,uid
Carter the Unstoppable Sex Machine,England,89cda36e-124f-4bb4-a98e-672d59460ccd,dark,0.613729,VienneseWaltz,0.854305,voice,0.942244,male,0.697387,cla,0.571092,not_electronic,0.944814,ambient,0.931005,sad,0.842892,atonal,0.72111,not_party,0.882791,Cluster2,0.397135,not_danceable,0.75227,folkcountry,0.417511,acoustic,0.943407,happy,0.985022,not_aggressive,0.991444,jaz,0.318209,relaxed,0.84974,England:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,"Look Mum, No Hands!",9057e502-9929-4e32-802b-5768c1b1498d,dark,0.744662,ChaChaCha,0.922029,voice,0.964496,male,0.513694,pop,0.432128,not_electronic,0.631739,ambient,0.583811,not_sad,0.819665,atonal,0.631185,party,0.594174,Cluster1,0.362076,not_danceable,0.819726,rock,0.395904,not_acoustic,0.956397,happy,0.964111,aggressive,0.728619,jaz,0.313975,not_relaxed,0.752213,"Look Mum, No Hands!:Carter the Unstoppable Sex Machine"
Carter the Unstoppable Sex Machine,Is Wrestling Fixed,b8e0cc2f-7ef6-4151-9470-1c26a8ca242a,bright,0.986515,ChaChaCha,0.223588,voice,0.994091,female,0.581279,rhy,0.504783,not_electronic,0.930092,ambient,0.767016,sad,0.654569,tonal,0.93695,not_party,0.658264,Cluster2,0.505598,not_danceable,0.812806,folkcountry,0.639855,not_acoustic,0.692421,happy,0.937259,not_aggressive,0.979116,jaz,0.313975,relaxed,0.939488,Is Wrestling Fixed:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,1993,63914a83-d4c6-47fe-a8fc-f6619d3efd6f,dark,0.809652,ChaChaCha,0.948416,instrumental,0.893079,male,0.845724,roc,0.550596,electronic,0.816369,trance,0.648629,not_sad,0.978177,atonal,0.84998,party,0.887854,Cluster5,0.845225,not_danceable,0.731439,electronic,0.852789,not_acoustic,0.999999,not_happy,0.789582,aggressive,0.987038,jaz,0.313987,not_relaxed,0.903693,1993:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,While You Were Out,ea09afec-fb4f-4624-b637-e2556163bd39,bright,0.765684,ChaChaCha,0.965433,voice,0.983356,female,0.754031,pop,0.609678,electronic,0.727275,ambient,0.413476,not_sad,0.8081,atonal,0.805789,party,0.908271,Cluster2,0.298927,danceable,0.87395,electronic,0.71045,not_acoustic,0.993678,not_happy,0.898165,not_aggressive,0.733447,jaz,0.313987,not_relaxed,0.94017,While You Were Out:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,Suppose You Gave a Funeral and Nobody Came,f793f73f-5355-441e-8da8-0841439913d5,bright,0.827496,ChaChaCha,0.519186,instrumental,0.589991,female,0.561258,pop,0.4578,electronic,0.697049,ambient,0.561697,not_sad,0.606221,tonal,0.940377,party,0.546721,Cluster5,0.463731,not_danceable,0.694017,electronic,0.942964,not_acoustic,0.912589,happy,0.533453,not_aggressive,0.89436,jaz,0.313987,relaxed,0.767356,Suppose You Gave a Funeral and Nobody Came:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,"Do Re Me, So Far So Good",172e64ba-0874-45aa-8980-e00f70e135ea,dark,0.985987,ChaChaCha,0.908971,voice,0.998756,male,0.913513,roc,0.934259,not_electronic,0.630801,trance,0.62899,not_sad,0.983157,tonal,0.594659,party,0.801961,Cluster1,0.275056,not_danceable,0.794696,electronic,0.287779,not_acoustic,0.997353,not_happy,0.600163,aggressive,0.986125,jaz,0.310667,not_relaxed,0.887094,"Do Re Me, So Far So Good:Carter the Unstoppable Sex Machine"
Carter the Unstoppable Sex Machine,Skywest and Crooked,e118c87e-9ebb-4713-bbac-974e146645d8,dark,0.930982,Tango,0.788828,voice,0.614689,female,0.587067,jaz,0.375152,not_electronic,0.526379,ambient,0.688933,sad,0.665673,atonal,0.858916,not_party,0.809052,Cluster3,0.310551,not_danceable,0.63842,electronic,0.982999,not_acoustic,0.665598,not_happy,0.698634,not_aggressive,0.789552,jaz,0.321705,relaxed,0.927761,Skywest and Crooked:Carter the Unstoppable Sex Machine
Throwing Muses,Furious,5a5ca57e-36e7-4b27-b3ed-10eae4abc3a2,bright,0.896761,Tango,0.294157,voice,0.551179,male,0.822149,roc,0.724914,not_electronic,0.865095,ambient,0.690573,not_sad,0.792365,tonal,0.645626,not_party,0.725088,Cluster5,0.680403,not_danceable,0.957786,electronic,0.98952,not_acoustic,0.969843,not_happy,0.715976,aggressive,0.572031,jaz,0.313975,not_relaxed,0.972705,Furious:Throwing Muses
Throwing Muses,Dirty Water,94177310-5b1f-4b10-b381-968c82726493,dark,0.828108,Tango,0.610711,voice,0.993708,female,0.961495,roc,0.827962,not_electronic,0.712516,ambient,0.710598,not_sad,0.723044,tonal,0.511814,not_party,0.59031,Cluster5,0.374919,not_danceable,0.902836,electronic,0.483821,not_acoustic,0.887071,not_happy,0.815183,aggressive,0.615117,jaz,0.313975,not_relaxed,0.798413,Dirty Water:Throwing Muses
Throwing Muses,Summer St.,e1342822-a957-46c8-b52a-6bb0c3b855ff,bright,0.980708,Tango,0.29668,voice,0.989931,female,0.997379,rhy,0.517406,not_electronic,0.914966,ambient,0.719308,sad,0.904228,tonal,0.747966,not_party,0.960343,Cluster3,0.530224,not_danceable,0.887124,folkcountry,0.332504,acoustic,0.898133,not_happy,0.942368,not_aggressive,0.971595,jaz,0.316566,relaxed,0.965425,Summer St.:Throwing Muses
Throwing Muses,Dovey,c4c8c2c8-5e0b-41eb-b634-0f7bc852a444,bright,0.999994,ChaChaCha,0.420706,voice,0.843672,male,0.72709,rhy,0.267765,not_electronic,0.744409,ambient,0.79971,not_sad,0.6308,tonal,0.991632,not_party,0.61956,Cluster2,0.325567,not_danceable,0.805227,folkcountry,0.303174,not_acoustic,0.566737,not_happy,0.725268,not_aggressive,0.894435,jaz,0.313987,not_relaxed,0.753451,Dovey:Throwing Muses
