artist,song,mbid,timbre,timbreprobability,ismir04_rhythm,ismir04_rhythmprobability,voice_instrumental,voice_instrumentalprobability,gender,genderprobability,genre_rosamerica,genre_rosamericaprobability,mood_electronic,mood_electronicprobability,genre_electronic,genre_electronicprobability,mood_sad,mood_sadprobability,tonal_atonal,tonal_atonalprobability,mood_party,mood_partyprobability,moods_mirex,moods_mirexprobability,danceability,danceabilityprobability,genre_dortmund,genre_dortmundprobability,mood_acoustic,mood_acousticprobability,mood_happy,mood_happyprobability,mood_aggressive,mood_aggressiveprobability,genre_tzanetakis,genre_tzanetakisprobability,mood_relaxed,mood_relaxedprobability,uid
Carter the Unstoppable Sex Machine,Surfinâ€™ Usm,8703b459-6365-4255-9a0b-c77f661bd9e6,dark,0.90511,ChaChaCha,0.852857,voice,0.6504,male,0.938862,roc,0.902839,electronic,0.668814,trance,0.545237,not_sad,0.969743,atonal,0.991561,party,0.780681,Cluster5,0.593247,not_danceable,0.648646,electronic,0.860543,not_acoustic,1,happy,0.578749,aggressive,0.999611,jaz,0.313975,not_relaxed,0.938665,Surfinâ€™ Usm:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,Falling on a Bruise,6f684861-9350-4457-a0d6-f351460577de,bright,0.983198,ChaChaCha,0.635852,voice,0.957282,female,0.702984,pop,0.517887,electronic,0.557262,house,0.480444,not_sad,0.62205,atonal,0.637722,party,0.525408,Cluster2,0.306481,not_danceable,0.51959,electronic,0.961107,not_acoustic,0.931728,not_happy,0.849301,not_aggressive,0.861497,jaz,0.310667,relaxed,0.640694,Falling on a Bruise:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,My Second to Last Will and Testament,1e7ad1cf-96ab-470e-b0f9-3479ee16964e,dark,0.695565,ChaChaCha,0.899244,voice,0.991826,male,0.729125,roc,0.88918,not_electronic,0.647698,dnb,0.413027,not_sad,0.989833,atonal,0.91246,party,0.791801,Cluster5,0.95383,danceable,0.634793,electronic,0.410814,not_acoustic,0.999998,not_happy,0.841015,aggressive,0.999383,jaz,0.313987,not_relaxed,0.916879,My Second to Last Will and Testament:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,Anytime Anyplace Anywhere,6aff9d6b-002f-47ce-986b-62ff46fbfe11,dark,0.938342,ChaChaCha,0.235148,voice,0.815916,male,0.970409,roc,0.747232,electronic,0.740334,trance,0.706674,not_sad,0.926219,atonal,0.543626,party,0.822755,Cluster5,0.65442,not_danceable,0.536553,electronic,0.939607,not_acoustic,0.995581,happy,0.787396,aggressive,0.688339,jaz,0.313975,not_relaxed,0.861275,Anytime Anyplace Anywhere:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,Sealed With a Glasgow Kiss,8428dc42-48bd-4623-90f9-6f9c9e48d476,dark,0.980458,ChaChaCha,0.887152,voice,0.89957,male,0.646962,roc,0.980969,not_electronic,0.741716,trance,0.518303,not_sad,0.990951,atonal,0.93942,party,0.582876,Cluster5,0.916184,not_danceable,0.984308,alternative,0.295994,not_acoustic,0.999998,not_happy,0.551162,aggressive,0.999874,jaz,0.313987,not_relaxed,0.955188,Sealed With a Glasgow Kiss:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,Say It With Flowers,d95a01c0-26e2-4aca-8e84-375bcff21482,dark,0.751131,ChaChaCha,0.706466,voice,0.939099,male,0.836584,roc,0.91368,not_electronic,0.594737,ambient,0.485062,not_sad,0.93868,atonal,0.708594,party,0.729062,Cluster5,0.571461,not_danceable,0.754847,electronic,0.715624,not_acoustic,0.999991,happy,0.992932,aggressive,0.911768,jaz,0.313987,not_relaxed,0.838216,Say It With Flowers:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,The Final Comedown,d17eb177-b72c-4bb7-9e17-a23d5467d745,bright,0.997001,VienneseWaltz,0.906301,voice,0.968779,female,0.872952,cla,0.721955,not_electronic,0.97953,ambient,0.807843,sad,0.947166,tonal,0.999435,not_party,0.986399,Cluster3,0.831102,not_danceable,0.961846,folkcountry,0.4784,acoustic,0.990503,not_happy,0.698853,not_aggressive,1,pop,0.196794,relaxed,0.612066,The Final Comedown:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,A Prince in a Pauperâ€™s Grave,b531e08b-4d54-4d2d-9192-8c36fea429f1,dark,0.970831,Tango,0.333606,voice,0.928541,male,0.666465,pop,0.683156,not_electronic,0.522986,ambient,0.642568,not_sad,0.773461,atonal,0.708743,party,0.59725,Cluster3,0.325972,danceable,0.832314,electronic,0.872636,not_acoustic,0.981528,happy,0.513754,not_aggressive,0.893362,jaz,0.310667,relaxed,0.580818,A Prince in a Pauperâ€™s Grave:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,Shoppersâ€™ Paradise,7351ea7d-fc9a-4db3-b617-6b2b4f820710,bright,0.982599,Jive,0.208445,voice,0.881569,male,0.877316,roc,0.661421,electronic,0.64839,trance,0.744143,not_sad,0.824255,atonal,0.751461,party,0.688857,Cluster5,0.414944,danceable,0.705143,electronic,0.998447,not_acoustic,0.994281,happy,0.911827,aggressive,0.531845,jaz,0.313987,not_relaxed,0.940199,Shoppersâ€™ Paradise:Carter the Unstoppable Sex Machine
Carter the Unstoppable Sex Machine,Billy's Smart Circus,d78b34f5-0345-45c9-a92b-8078119f8d34,dark,0.99137,ChaChaCha,0.982966,voice,0.822955,male,0.860714,roc,0.854279,electronic,0.809432,ambient,0.46996,not_sad,0.964979,atonal,0.956377,party,0.738617,Cluster5,0.86339,danceable,0.693848,electronic,0.554404,not_acoustic,0.999996,not_happy,0.672294,aggressive,0.992029,jaz,0.313987,not_relaxed,0.882215,Billy's Smart Circus:Carter the Unstoppable Sex Machine
