artist,song,mbid,timbre,timbreprobability,ismir04_rhythm,ismir04_rhythmprobability,voice_instrumental,voice_instrumentalprobability,gender,genderprobability,genre_rosamerica,genre_rosamericaprobability,mood_electronic,mood_electronicprobability,genre_electronic,genre_electronicprobability,mood_sad,mood_sadprobability,tonal_atonal,tonal_atonalprobability,mood_party,mood_partyprobability,moods_mirex,moods_mirexprobability,danceability,danceabilityprobability,genre_dortmund,genre_dortmundprobability,mood_acoustic,mood_acousticprobability,mood_happy,mood_happyprobability,mood_aggressive,mood_aggressiveprobability,genre_tzanetakis,genre_tzanetakisprobability,mood_relaxed,mood_relaxedprobability,uid
Iron Maiden,Infinite Dreams,57a32848-d6a5-4f54-bf3d-1bd99a80cce0,bright,0.783239,VienneseWaltz,0.317676,instrumental,0.795411,male,0.976273,roc,0.826794,not_electronic,0.626699,trance,0.650558,not_sad,0.697693,tonal,0.872313,not_party,0.730291,Cluster5,0.67503,not_danceable,0.749679,electronic,0.999992,not_acoustic,0.94188,not_happy,0.521451,not_aggressive,0.925,jaz,0.310667,not_relaxed,0.694483,Infinite Dreams:Iron Maiden
Iron Maiden,Seventh Son of a Seventh Son,339475fd-e438-4aba-b13e-fc9b993d5471,bright,0.914638,VienneseWaltz,0.533827,instrumental,0.996532,male,0.694062,roc,0.680749,electronic,0.690585,trance,0.624432,not_sad,0.644715,atonal,0.907882,not_party,0.887248,Cluster5,0.62946,danceable,0.588436,electronic,1,not_acoustic,0.68951,not_happy,0.717048,not_aggressive,0.993733,jaz,0.310667,relaxed,0.836287,Seventh Son of a Seventh Son:Iron Maiden
Iron Maiden,The Prophecy,e7bcfd03-1102-465b-b407-816bc5a7ab6f,dark,0.758064,Tango,0.784669,instrumental,0.655196,male,0.890073,pop,0.375226,not_electronic,0.853211,ambient,0.747077,not_sad,0.647587,atonal,0.872186,not_party,0.884926,Cluster5,0.569901,not_danceable,0.710885,electronic,0.91376,not_acoustic,0.811746,not_happy,0.870423,not_aggressive,0.771213,jaz,0.30524,relaxed,0.804245,The Prophecy:Iron Maiden
Iron Maiden,Only the Good Die Young,caab0ce3-a433-4a3a-80c0-d8611bb2bc15,dark,0.610309,VienneseWaltz,0.298872,instrumental,0.969007,male,0.950211,roc,0.706481,electronic,0.515368,trance,0.61267,not_sad,0.760507,tonal,0.573788,not_party,0.737189,Cluster5,0.7488,danceable,0.676615,electronic,0.997879,not_acoustic,0.974361,not_happy,0.67888,not_aggressive,0.553094,jaz,0.313975,not_relaxed,0.948729,Only the Good Die Young:Iron Maiden
A House,Call Me Blue,d963027d-43db-4a20-9b21-8f939e5f6c1b,bright,0.716757,ChaChaCha,0.666961,voice,0.969208,female,0.732217,roc,0.941546,not_electronic,0.634164,trance,0.655192,not_sad,0.969948,tonal,0.788813,party,0.94455,Cluster5,0.421568,not_danceable,0.6858,alternative,0.303809,not_acoustic,0.997373,happy,0.824848,aggressive,0.640878,jaz,0.313987,not_relaxed,0.930592,Call Me Blue:A House
Happy Mondays,Country Song,2809eaa9-9819-4400-8c1d-9c039304cfd1,bright,0.987449,VienneseWaltz,0.312532,instrumental,0.777624,male,0.944165,roc,0.611064,not_electronic,0.915798,trance,0.528663,not_sad,0.919626,tonal,0.973966,party,0.62185,Cluster5,0.355457,danceable,0.996144,electronic,0.930501,not_acoustic,0.995283,happy,0.833528,not_aggressive,0.874003,jaz,0.310667,not_relaxed,0.880089,Country Song:Happy Mondays
Happy Mondays,Moving in With,31f47439-7617-4669-b511-3d877c986e94,bright,0.72742,ChaChaCha,0.955014,voice,0.967798,male,0.58766,roc,0.881964,not_electronic,0.650365,trance,0.63159,not_sad,0.930197,tonal,0.758017,party,0.66334,Cluster1,0.287216,danceable,0.887277,electronic,0.328189,not_acoustic,0.989218,happy,0.520589,not_aggressive,0.798692,jaz,0.313975,not_relaxed,0.920819,Moving in With:Happy Mondays
Happy Mondays,Mad Cyril,ee25b9da-4a7d-4ca8-80f6-b558d9a81983,bright,0.575167,ChaChaCha,0.299077,voice,0.700085,male,0.817259,roc,0.939578,electronic,0.616142,ambient,0.64844,not_sad,0.91908,tonal,0.519827,party,0.593189,Cluster5,0.875688,not_danceable,0.936496,electronic,0.993381,not_acoustic,0.999989,not_happy,0.63146,aggressive,0.970774,jaz,0.313987,not_relaxed,0.912695,Mad Cyril:Happy Mondays
Happy Mondays,Fat Lady Wrestlers,825c329e-312d-4192-bf62-7b0aa2c87bc9,bright,0.992233,ChaChaCha,0.978643,voice,0.932934,female,0.580698,roc,0.624013,not_electronic,0.807638,trance,0.480206,not_sad,0.938404,tonal,0.515843,party,0.718643,Cluster1,0.314044,danceable,0.980571,electronic,0.497166,not_acoustic,0.994641,not_happy,0.917026,aggressive,0.825355,jaz,0.313975,not_relaxed,0.958714,Fat Lady Wrestlers:Happy Mondays
Happy Mondays,Performance,571dcc2a-bef1-4cd4-b471-9a1eae7df14c,dark,0.965317,Tango,0.26101,voice,0.5,male,0.673151,roc,0.676405,electronic,0.893813,ambient,0.556893,not_sad,0.881274,atonal,0.979844,party,0.605666,Cluster5,0.529353,danceable,0.991558,electronic,0.876119,not_acoustic,0.999984,not_happy,0.876849,aggressive,0.901708,jaz,0.313975,not_relaxed,0.620188,Performance:Happy Mondays
