artist,song,mbid,timbre,timbreprobability,ismir04_rhythm,ismir04_rhythmprobability,voice_instrumental,voice_instrumentalprobability,gender,genderprobability,genre_rosamerica,genre_rosamericaprobability,mood_electronic,mood_electronicprobability,genre_electronic,genre_electronicprobability,mood_sad,mood_sadprobability,tonal_atonal,tonal_atonalprobability,mood_party,mood_partyprobability,moods_mirex,moods_mirexprobability,danceability,danceabilityprobability,genre_dortmund,genre_dortmundprobability,mood_acoustic,mood_acousticprobability,mood_happy,mood_happyprobability,mood_aggressive,mood_aggressiveprobability,genre_tzanetakis,genre_tzanetakisprobability,mood_relaxed,mood_relaxedprobability,uid
Iron Maiden,Tailgunner,1ff89808-d1ee-40e5-a2b4-e3cfb190eb9e,dark,0.916489,ChaChaCha,0.686425,voice,0.990057,male,0.943685,roc,0.83475,not_electronic,0.690094,ambient,0.568882,not_sad,0.715773,tonal,0.866534,not_party,0.778275,Cluster5,0.393116,danceable,0.575889,electronic,0.542315,not_acoustic,0.968537,not_happy,0.966239,not_aggressive,0.710762,jaz,0.313975,not_relaxed,0.712345,Tailgunner:Iron Maiden
Iron Maiden,Fates Warning,68b890a1-456d-4598-8386-4848bc689918,dark,0.750201,VienneseWaltz,0.654495,voice,0.772619,male,0.940287,roc,0.947495,not_electronic,0.674992,ambient,0.503589,not_sad,0.803626,tonal,0.865503,not_party,0.797152,Cluster5,0.718019,not_danceable,0.885317,electronic,0.970928,not_acoustic,0.952477,happy,0.50807,aggressive,0.509523,jaz,0.310667,not_relaxed,0.886705,Fates Warning:Iron Maiden
Iron Maiden,Public Enema Number One,86c2ad07-ead9-43e7-84ec-ffae78575c55,bright,0.773867,VienneseWaltz,0.45132,instrumental,0.506994,male,0.954702,roc,0.984479,not_electronic,0.780295,trance,0.518241,not_sad,0.808185,tonal,0.9778,not_party,0.740767,Cluster5,0.76419,danceable,0.583239,electronic,0.991123,not_acoustic,0.983661,not_happy,0.793835,aggressive,0.717889,jaz,0.313975,not_relaxed,0.991602,Public Enema Number One:Iron Maiden
Iron Maiden,Hooks in You,4cb7b7ba-7a39-4fbb-bb65-b85f2cf245cb,dark,0.636056,VienneseWaltz,0.436694,voice,0.995458,male,0.994232,roc,0.990744,not_electronic,0.905894,trance,0.641385,not_sad,0.857791,tonal,0.978584,not_party,0.683692,Cluster5,0.690162,not_danceable,0.980758,electronic,0.984032,not_acoustic,0.983345,happy,0.74406,aggressive,0.666418,jaz,0.313975,not_relaxed,0.919099,Hooks in You:Iron Maiden
Iron Maiden,No Prayer for the Dying,1282d67c-0e85-42e0-b2de-1af37e803023,bright,0.993749,VienneseWaltz,0.760261,instrumental,0.959333,male,0.814634,roc,0.840774,not_electronic,0.942527,ambient,0.503978,not_sad,0.787599,tonal,0.986945,not_party,0.792499,Cluster5,0.565086,not_danceable,0.669279,electronic,0.986378,not_acoustic,0.934168,not_happy,0.723579,not_aggressive,0.8676,jaz,0.313975,not_relaxed,0.653087,No Prayer for the Dying:Iron Maiden
Iron Maiden,The Assassin,47a08ba9-490e-4257-9504-fd9dbc8b3954,dark,0.633318,ChaChaCha,0.596641,voice,0.821399,male,0.932338,roc,0.840443,not_electronic,0.695745,ambient,0.610294,not_sad,0.81136,tonal,0.926677,not_party,0.771675,Cluster5,0.616211,danceable,0.524761,electronic,0.504725,not_acoustic,0.953627,not_happy,0.575535,not_aggressive,0.820924,jaz,0.313975,not_relaxed,0.73951,The Assassin:Iron Maiden
Iron Maiden,Run Silent Run Deep,1d553008-aacf-44bd-b732-1a3e3115a616,bright,0.97957,VienneseWaltz,0.279286,instrumental,0.685061,male,0.742416,roc,0.890069,not_electronic,0.798886,ambient,0.485515,not_sad,0.768132,tonal,0.752103,not_party,0.789451,Cluster5,0.477446,danceable,0.569541,electronic,0.760441,not_acoustic,0.975684,not_happy,0.584827,not_aggressive,0.724062,jaz,0.313975,not_relaxed,0.964882,Run Silent Run Deep:Iron Maiden
Iron Maiden,Bring Your Daughterâ€¦ to the Slaughter,af7fafda-500d-456f-9550-8e036256c571,bright,0.753905,VienneseWaltz,0.41145,voice,0.901254,male,0.990865,roc,0.93995,not_electronic,0.659742,trance,0.504354,not_sad,0.789332,tonal,0.770832,not_party,0.666694,Cluster5,0.710682,not_danceable,0.815625,electronic,0.984056,not_acoustic,0.921144,happy,0.5,aggressive,0.891928,jaz,0.313975,not_relaxed,0.997072,Bring Your Daughterâ€¦ to the Slaughter:Iron Maiden
Iron Maiden,Mother Russia,886e998d-4287-434c-9231-376e5233addf,bright,0.945314,VienneseWaltz,0.708307,instrumental,0.982029,male,0.927343,roc,0.644761,not_electronic,0.782449,ambient,0.502873,not_sad,0.800148,tonal,0.783426,not_party,0.919355,Cluster5,0.665693,danceable,0.555432,electronic,0.998552,not_acoustic,0.990476,not_happy,0.813114,not_aggressive,0.971445,hip,0.174177,relaxed,0.764892,Mother Russia:Iron Maiden
Carter the Unstoppable Sex Machine,Everytime a Churchbell Rings,01281a92-7274-4aa0-8ad9-a6310f4e1df4,dark,0.968006,ChaChaCha,0.92988,voice,0.89527,male,0.75835,hip,0.449779,electronic,0.744527,ambient,0.728528,not_sad,0.805499,atonal,0.973277,party,0.815116,Cluster5,0.338903,not_danceable,0.620786,electronic,0.951702,not_acoustic,0.990244,happy,0.669435,aggressive,0.66568,jaz,0.313975,relaxed,0.846412,Everytime a Churchbell Rings:Carter the Unstoppable Sex Machine
