artist,song,mbid,timbre,timbreprobability,ismir04_rhythm,ismir04_rhythmprobability,voice_instrumental,voice_instrumentalprobability,gender,genderprobability,genre_rosamerica,genre_rosamericaprobability,mood_electronic,mood_electronicprobability,genre_electronic,genre_electronicprobability,mood_sad,mood_sadprobability,tonal_atonal,tonal_atonalprobability,mood_party,mood_partyprobability,moods_mirex,moods_mirexprobability,danceability,danceabilityprobability,genre_dortmund,genre_dortmundprobability,mood_acoustic,mood_acousticprobability,mood_happy,mood_happyprobability,mood_aggressive,mood_aggressiveprobability,genre_tzanetakis,genre_tzanetakisprobability,mood_relaxed,mood_relaxedprobability,uid
Del Amitri,Former Owner,7f8232c6-f80f-4844-957c-523870c58b8c,bright,0.996524,VienneseWaltz,0.614027,voice,0.933403,male,0.984947,rhy,0.699675,not_electronic,0.964457,ambient,0.52284,sad,0.698283,tonal,0.996671,not_party,0.835628,Cluster3,0.402572,not_danceable,0.836129,electronic,0.658001,acoustic,0.835069,happy,0.679752,not_aggressive,0.986263,jaz,1,not_relaxed,0.925695,Former Owner:Del Amitri
Del Amitri,Keepers,a936e839-cd29-4659-b70b-47f26b409910,bright,0.99721,VienneseWaltz,0.753241,voice,0.540796,male,0.621886,pop,0.310877,not_electronic,0.836827,trance,0.477201,not_sad,0.610322,tonal,0.998823,not_party,0.805198,Cluster3,0.392016,danceable,0.718304,electronic,0.998633,not_acoustic,0.559433,not_happy,0.60175,not_aggressive,0.999999,jaz,0.267068,not_relaxed,0.644719,Keepers:Del Amitri
Del Amitri,I Was Here,de2386de-c948-463c-b10a-4b529df4fa4d,bright,1,VienneseWaltz,0.469527,voice,0.981696,male,0.828201,roc,0.416561,not_electronic,0.923493,ambient,0.44751,not_sad,0.644642,tonal,0.999087,not_party,0.505722,Cluster3,0.437484,danceable,0.684592,electronic,0.857284,not_acoustic,0.673328,not_happy,0.944709,not_aggressive,0.901254,jaz,0.310667,not_relaxed,0.879824,I Was Here:Del Amitri
Del Amitri,Breaking Bread,99a0724f-0eef-40a8-80fa-6964b03c9d65,bright,0.994117,VienneseWaltz,0.481688,voice,0.920726,male,0.975465,roc,0.403399,not_electronic,0.935075,ambient,0.561982,not_sad,0.659252,tonal,0.996354,not_party,0.611952,Cluster2,0.325347,not_danceable,0.525649,electronic,0.90167,acoustic,0.549304,not_happy,0.542259,not_aggressive,0.950957,jaz,0.313975,not_relaxed,0.559661,Breaking Bread:Del Amitri
Del Amitri,Heard Through a Wall,7e85c74a-fe32-4fd7-bff3-175c482123bc,bright,1,VienneseWaltz,0.416274,voice,0.983272,male,0.807117,pop,0.644692,not_electronic,0.932705,ambient,0.519713,not_sad,0.625283,tonal,0.984664,party,0.600429,Cluster2,0.457387,not_danceable,0.606794,electronic,0.776653,not_acoustic,0.659091,happy,0.805932,not_aggressive,0.830833,jaz,0.313975,not_relaxed,0.824819,Heard Through a Wall:Del Amitri
Del Amitri,Sticks and Stones Girl,386ccca5-a1f6-47f0-8ccd-7216e3ed3f1b,bright,0.922841,Tango,0.3663,voice,0.996417,male,0.860992,roc,0.544909,not_electronic,0.949386,ambient,0.80381,not_sad,0.801319,tonal,0.959346,party,0.650447,Cluster2,0.322742,not_danceable,0.593218,folkcountry,0.208015,not_acoustic,0.957805,happy,0.517101,not_aggressive,0.810396,jaz,0.313975,not_relaxed,0.902349,Sticks and Stones Girl:Del Amitri
Del Amitri,Ceasefire,48760219-7601-468a-bbb9-7efcfd0657fa,bright,0.994684,VienneseWaltz,0.579661,voice,0.568501,female,0.875277,rhy,0.699957,not_electronic,0.818633,ambient,0.778401,sad,0.592537,tonal,0.978303,not_party,0.970425,Cluster2,0.50553,not_danceable,0.642857,electronic,0.500239,acoustic,0.629801,not_happy,0.622623,not_aggressive,0.999991,jaz,0.30524,relaxed,0.833648,Ceasefire:Del Amitri
Del Amitri,Deceive Yourself (In Ignorant Heavan),240d65c3-f660-4b73-a33b-66c7f3fd9f52,bright,0.999999,VienneseWaltz,0.623162,voice,0.968712,male,0.981179,rhy,0.657979,not_electronic,0.953741,ambient,0.707629,sad,0.655859,tonal,0.993561,not_party,0.822886,Cluster3,0.362699,not_danceable,0.854993,electronic,0.902074,acoustic,0.845769,happy,0.669812,not_aggressive,0.992321,jaz,0.310667,not_relaxed,0.925993,Deceive Yourself (In Ignorant Heavan):Del Amitri
Del Amitri,Hammering Heart,57ad26d2-f7c8-4d91-806a-a0917a9a9e5e,bright,0.996854,ChaChaCha,0.222378,voice,0.891333,male,0.836921,roc,0.540277,not_electronic,0.926828,ambient,0.409206,not_sad,0.786855,tonal,0.952553,party,0.66461,Cluster2,0.313268,danceable,0.613975,electronic,0.703963,not_acoustic,0.975886,happy,0.896571,not_aggressive,0.515028,jaz,0.313975,not_relaxed,0.843298,Hammering Heart:Del Amitri
Del Amitri,Crows in the Wheatfield,af1efccf-2455-4cab-b7bc-96882189db92,bright,0.999999,ChaChaCha,0.239038,voice,0.719716,male,0.832201,rhy,0.416444,not_electronic,0.838104,house,0.387052,not_sad,0.532803,tonal,0.997749,not_party,0.751603,Cluster3,0.461665,danceable,0.733025,electronic,0.9572,not_acoustic,0.872646,not_happy,0.950199,not_aggressive,0.98556,jaz,0.303678,relaxed,0.736115,Crows in the Wheatfield:Del Amitri
Richard Thompson,Fire in the Engine Room,8257d65c-5954-47b5-b024-9ebd72296916,bright,0.734423,Jive,0.328582,voice,0.872798,male,0.631234,roc,0.692976,not_electronic,0.870749,ambient,0.682753,not_sad,0.878341,atonal,0.592541,party,0.653084,Cluster5,0.35965,not_danceable,0.943539,electronic,0.356374,not_acoustic,0.962523,happy,0.763483,aggressive,0.791362,jaz,0.313987,not_relaxed,0.839751,Fire in the Engine Room:Richard Thompson
Richard Thompson,Little Blue Number,5ff0b0d2-dd44-4074-8a3a-144178bb5f8e,bright,0.959316,ChaChaCha,0.698184,voice,0.989946,male,0.789935,roc,0.481102,not_electronic,0.940479,ambient,0.817666,not_sad,0.719552,tonal,0.95284,party,0.517349,Cluster3,0.326269,not_danceable,0.853829,rock,0.319605,not_acoustic,0.862387,happy,0.563553,not_aggressive,0.614829,jaz,0.313975,not_relaxed,0.976961,Little Blue Number:Richard Thompson
Richard Thompson,She Twists the Knife Again,b80bee73-955e-4c60-b38a-4724cad81369,bright,0.994141,ChaChaCha,0.35384,voice,0.998296,male,0.805249,cla,0.329296,not_electronic,0.903759,ambient,0.851128,not_sad,0.660771,tonal,0.838431,party,0.549332,Cluster2,0.479884,not_danceable,0.812374,electronic,0.28437,not_acoustic,0.653356,happy,0.874465,not_aggressive,0.785915,jaz,0.313975,not_relaxed,0.853739,She Twists the Knife Again:Richard Thompson
Richard Thompson,When the Spell Is Broken,138af398-4df9-42af-85c6-a07a6ede6f12,bright,0.948264,Tango,0.854601,voice,0.984776,male,0.994015,jaz,0.395408,not_electronic,0.722995,ambient,0.882204,sad,0.782793,atonal,0.570442,not_party,0.871707,Cluster2,0.356316,not_danceable,0.949489,electronic,0.77963,acoustic,0.913982,not_happy,0.617877,not_aggressive,0.890244,jaz,0.309086,relaxed,0.854773,When the Spell Is Broken:Richard Thompson
Richard Thompson,Walking Through a Wasted Land,967908a5-3cb4-47ac-83f5-2b3826888a50,bright,1,Tango,0.51304,voice,0.961552,male,0.758868,cla,0.337662,not_electronic,0.962955,ambient,0.841778,sad,0.59932,tonal,0.982926,not_party,0.708066,Cluster2,0.474143,not_danceable,0.86152,electronic,0.487512,not_acoustic,0.643199,happy,0.77041,not_aggressive,0.731956,jaz,1,not_relaxed,0.663848,Walking Through a Wasted Land:Richard Thompson
Richard Thompson,Love in a Faithless Country,f0f39136-ad5b-4eb2-916c-eb33769e0300,bright,0.763864,Tango,0.904232,instrumental,0.693875,male,0.856857,cla,0.444718,not_electronic,0.819871,ambient,0.849617,not_sad,0.530066,atonal,0.979835,not_party,0.792559,Cluster5,0.534728,not_danceable,0.955283,electronic,0.998765,not_acoustic,0.646617,not_happy,0.582866,not_aggressive,0.834758,jaz,0.364228,relaxed,0.969869,Love in a Faithless Country:Richard Thompson
Richard Thompson,You Don't Say,f57e43d0-f167-4d0f-93ed-e32d2ce8ae01,bright,0.997209,VienneseWaltz,0.541345,voice,0.686386,female,0.522102,rhy,0.535232,not_electronic,0.767528,ambient,0.548534,not_sad,0.516713,tonal,0.989772,not_party,0.738131,Cluster5,0.332358,not_danceable,0.7881,electronic,0.966196,acoustic,0.657408,happy,0.63205,not_aggressive,0.991882,jaz,0.313975,not_relaxed,0.829342,You Don't Say:Richard Thompson
Richard Thompson,I Ain't Going to Drag My Feet No More,0032f12c-64d9-45f0-a8fc-daf2a61ed6ce,bright,0.947499,VienneseWaltz,0.319462,voice,0.98841,male,0.779588,cla,0.363196,not_electronic,0.827431,ambient,0.789643,not_sad,0.5,tonal,0.962401,not_party,0.567693,Cluster3,0.383638,not_danceable,0.940789,electronic,0.935245,not_acoustic,0.64553,happy,0.92969,not_aggressive,0.942595,jaz,0.313975,not_relaxed,0.845053,I Ain't Going to Drag My Feet No More:Richard Thompson
Richard Thompson,Shine on Love,ee904a56-4031-4fdf-8d4b-39e0b7f09ca8,bright,0.967884,Tango,0.39088,voice,0.993787,male,0.678804,cla,0.305733,not_electronic,0.960444,ambient,0.934291,sad,0.682677,tonal,0.975967,not_party,0.543971,Cluster3,0.446041,not_danceable,0.923727,electronic,0.307864,not_acoustic,0.585541,happy,0.773131,not_aggressive,0.944427,jaz,0.313987,not_relaxed,0.929559,Shine on Love:Richard Thompson
Richard Thompson,Ghosts in the Wind,b5bef1f5-adf5-4f4a-a42b-d96e44fd25b1,bright,0.982115,VienneseWaltz,0.393478,voice,0.895534,male,0.611746,jaz,0.819482,not_electronic,0.909819,ambient,0.936606,sad,0.855131,tonal,0.871486,not_party,0.985063,Cluster5,0.375779,not_danceable,0.980496,electronic,0.987931,acoustic,0.989871,not_happy,0.89397,not_aggressive,0.96603,jaz,0.313975,relaxed,0.993993,Ghosts in the Wind:Richard Thompson
Marc Almond,"Traumas, Traumas, Traumas",5c618286-b80d-4a67-b9f9-efde474f352a,bright,0.715553,VienneseWaltz,0.345677,instrumental,0.877806,female,0.625719,rhy,0.778916,electronic,0.939312,ambient,0.444308,not_sad,0.57595,atonal,0.837001,party,0.850984,Cluster5,0.38749,danceable,0.99135,electronic,0.999219,not_acoustic,0.900512,not_happy,0.777821,not_aggressive,0.983784,jaz,0.313952,relaxed,0.746856,"Traumas, Traumas, Traumas:Marc Almond"
Marc Almond,The Flesh Is Willing,938941eb-a8ae-4e8e-9cdc-881b936203b8,bright,0.577344,ChaChaCha,0.281105,voice,0.996357,male,0.916633,roc,0.566698,electronic,0.74598,ambient,0.397507,not_sad,0.827493,tonal,0.883849,not_party,0.63505,Cluster5,0.542523,not_danceable,0.969613,electronic,0.843765,not_acoustic,0.941183,happy,0.520144,not_aggressive,0.707752,jaz,0.313975,not_relaxed,0.933451,The Flesh Is Willing:Marc Almond
Marc Almond,Always,014df0cf-3516-4026-97e3-bc97fff6f79e,bright,0.977691,VienneseWaltz,0.350998,voice,0.996574,male,0.787881,roc,0.705029,not_electronic,0.836297,trance,0.512401,not_sad,0.641985,tonal,0.993311,not_party,0.558049,Cluster5,0.323697,not_danceable,0.659503,electronic,0.996434,acoustic,0.510361,happy,0.870132,not_aggressive,0.88681,jaz,0.313975,not_relaxed,0.976784,Always:Marc Almond
Marc Almond,Contempt,0063f9ce-1fdb-44d7-abe6-c3f70032b440,dark,0.595246,Tango,0.458682,voice,0.986765,male,0.94347,pop,0.328777,electronic,0.572396,ambient,0.801626,not_sad,0.848548,tonal,0.910214,not_party,0.639318,Cluster5,0.332215,not_danceable,0.866706,electronic,0.735676,not_acoustic,0.710742,not_happy,0.92358,not_aggressive,0.613942,jaz,0.313975,relaxed,0.672651,Contempt:Marc Almond
Marc Almond,Love and Little White Lies,4d6766c2-8960-4bc7-8a27-e6f9b7964429,bright,0.963047,VienneseWaltz,0.452763,voice,0.997871,male,0.981209,rhy,0.429174,not_electronic,0.886666,ambient,0.803348,sad,0.662802,tonal,0.916539,not_party,0.843705,Cluster3,0.589102,not_danceable,0.603315,electronic,0.773655,acoustic,0.783842,not_happy,0.734519,not_aggressive,0.986168,jaz,0.31637,relaxed,0.674999,Love and Little White Lies:Marc Almond
Marc Almond,Love Letter (feat. The Westminster City Choir),897caee3-e6b8-4fa2-9e7d-9917f501bb1d,bright,0.972913,VienneseWaltz,0.824374,voice,0.998963,male,0.963494,cla,0.454452,not_electronic,0.882897,ambient,0.847537,sad,0.617242,tonal,0.873749,not_party,0.87105,Cluster3,0.509554,not_danceable,0.521299,electronic,0.985188,acoustic,0.849191,happy,0.570345,not_aggressive,0.993436,jaz,0.312431,not_relaxed,0.585235,Love Letter (feat. The Westminster City Choir):Marc Almond
Marc Almond,I Who Never,a0ddc05a-87d4-4e9a-bac4-913e38dea9b8,bright,0.981192,VienneseWaltz,0.48412,voice,0.914665,male,0.757778,pop,0.570733,not_electronic,0.828547,ambient,0.58723,not_sad,0.621069,tonal,0.762767,party,0.505197,Cluster5,0.440807,not_danceable,0.71347,electronic,0.990251,acoustic,0.530781,happy,0.744687,not_aggressive,0.605351,jaz,0.313975,not_relaxed,0.813622,I Who Never:Marc Almond
